Year,GDP,Inflation,Unemployment
1960,84.93,1.78,NaN
1961,87.85,1.70,NaN
1962,92.20,3.63,NaN
1963,103.44,2.95,NaN
1964,117.86,13.36,NaN
1965,121.51,9.47,NaN
1966,91.03,10.80,NaN
1967,97.99,13.06,NaN
1968,101.56,3.24,NaN
1969,109.48,-0.58,NaN
1970,114.36,5.09,NaN
1971,120.68,3.08,NaN
1972,125.27,6.44,NaN
1973,146.57,16.94,NaN
1974,166.70,28.60,NaN
1975,161.09,5.75,NaN
1976,164.12,-7.63,NaN
1977,189.59,8.31,NaN
1978,209.39,2.52,NaN
1979,227.96,6.28,NaN
1980,271.08,11.35,NaN
1981,274.96,13.11,NaN
1982,278.65,7.89,NaN
1983,296.00,11.87,NaN
1984,281.05,8.32,NaN
1985,300.93,5.56,NaN
1986,314.90,8.73,NaN
1987,344.94,8.80,NaN
1988,358.48,9.38,NaN
1989,349.92,7.07,NaN
1990,371.09,8.97,NaN
1991,305.57,13.87,NaN
1992,319.18,11.79,7.641
1993,302.88,6.33,7.649
1994,347.73,10.25,7.662
1995,375.18,10.22,7.593
1996,401.05,8.98,7.57
1997,416.23,7.16,7.537
1998,413.63,13.23,7.574
1999,441.93,4.67,7.596
2000,442.75,4.01,7.583
2001,450.36,3.78,7.589
2002,469.15,4.30,7.611
2003,544.14,3.81,7.681
2004,624.26,3.77,7.633
2005,710.49,4.25,7.598
2006,801.67,5.80,7.551
2007,1021.89,6.37,7.553
2008,992.52,8.35,7.562
2009,1094.95,10.88,7.629
2010,1347.52,11.99,7.636
2011,1445.46,8.91,7.631
2012,1429.32,9.48,7.609
2013,1432.84,10.02,7.645
2014,1553.88,6.67,7.678
2015,1584.00,4.91,7.656
2016,1707.51,4.95,7.629
2017,1950.10,3.33,7.611
2018,1966.25,3.94,7.626
2019,2041.43,3.73,7.652
2020,1907.04,6.62,6.51
2021,2239.61,5.13,7.859
2022,2347.45,6.70,6.38
2023,2530.12,5.65,4.822
2024,3912.69,4.95,4.202
2025,4125.00,4.85,4.10